*PCF-ID,Year of reporting,*Stage-level CO2e available,Product name (and functional unit),Product detail,Company,Country (where company is incorporated),Company's GICS Industry Group,Company's GICS Industry,*Company's sector,Product weight (kg),*Source for product weight,"Product's carbon footprint (PCF, kg CO2e)",*Carbon intensity,Protocol used for PCF,Relative change in PCF vs previous,Company-reported reason for change,*Change reason category,*%Upstream estimated from %Operations,*Upstream CO2e (fraction of total PCF),*Operations CO2e (fraction of total PCF),*Downstream CO2e (fraction of total PCF),*Transport CO2e (fraction of total PCF),*EndOfLife CO2e (fraction of total PCF),*Adjustments to raw data (if any)
10056-1-2014,2014,Yes,Frosted Flakes(R) Cereal,"Frosted Flakes(R), 23 oz., Produced in Lancaster, PA (One Carton)",Kellogg Company,USA,"Food, Beverage & Tobacco",Food Products,Food & Beverage,0.7485,Estimated from external data based on product description,2,2.67,Not reported,(not reported by company),N/a,N/a (no %change reported),No,57.50%,30.00%,12.50%,4.50%,(included in downstream but not reported separately),Divided stage and total emissions by 1000 (based on expected carbon intensity)
10056-1-2015,2015,Yes,"Frosted Flakes, 23 oz, produced in Lancaster, PA (one carton)",Cereal,Kellogg Company,USA,Food & Beverage Processing,Not used for 2015 reporting,Food & Beverage,0.7485,Estimated from external data based on product description,2,2.67,Not reported,(not reported by company),N/a,N/a (no %change reported),No,57.50%,30.00%,12.50%,4.50%,(included in downstream but not reported separately),Divided stage and total emissions by 1000 (based on expected carbon intensity)
10222-1-2013,2013,Yes,Office Chair,Field not included in 2013 data,KNOLL INC,USA,Capital Goods,Building Products,Comm. equipm. & capital goods,20.68,Estimated from external data based on product description,72.54,3.51,Not reported,(not reported by company),N/a,N/a (no previous data available),Yes,80.63%,17.36%,2.01%,(included in up/downstream but not reported separately),0.00%,"Changed %change to zero, according to field ""change reason"""
10261-1-2017,2017,Yes,Multifunction Printers,bizhub C458,"Konica Minolta, Inc.",Japan,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components","Computer, IT & telecom",110,Estimated from external data based on product description,1488,13.53,ISO,(not reported by company),N/a,N/a (no previous data available),No,30.65%,5.51%,63.84%,1.01%,2.76%,None
10261-2-2017,2017,Yes,Multifunction Printers,bizhub C558,"Konica Minolta, Inc.",Japan,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components","Computer, IT & telecom",110,Estimated from external data based on product description,1818,16.53,ISO,(not reported by company),N/a,N/a (no previous data available),No,25.08%,4.51%,70.41%,0.83%,2.26%,None
10261-3-2017,2017,Yes,Multifunction Printers,bizhub C658,"Konica Minolta, Inc.",Japan,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components","Computer, IT & telecom",110,Estimated from external data based on product description,2274,20.67,ISO,(not reported by company),N/a,N/a (no previous data available),No,20.05%,3.61%,76.34%,0.66%,1.80%,None
10324-1-2016,2016,No,KURALON  fiber,Raw material for tire reinforcing materials,"Kuraray Co., Ltd.",Japan,Materials,Chemicals,Chemicals,1500,As per company's submission to CDP,10000,6.67,Not reported,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),None
10418-1-2013,2013,No,Portland Cement,Field not included in 2013 data,Lafarge S.A.,France,Materials,Construction Materials,Construction & commercial materials,1000,As per company's submission to CDP,1102,1.1,Not reported,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),None
10661-10-2014,2014,No,Regular Straight 505® Jeans – Steel (Water<Less™),BLANK,Levi Strauss & Co.,USA,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods","Home durables, textiles, & equipment",0.7665,Estimated from external data based on product description,15,19.57,Not reported,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),None
10661-10-2015,2015,No,Regular Straight 505® Jeans – Steel (Water<Less™),BLANK,Levi Strauss & Co.,USA,"Textiles, Apparel, Footwear and Luxury Goods",Not used for 2015 reporting,"Home durables, textiles, & equipment",0.7665,Estimated from external data based on product description,15,19.57,Not reported,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),N/a (product with insufficient stage-level data),None
