*PCF-ID,Description of LCA stage,Scope-characterization of LCA stage,*Assigned value chain portion,Emissions at stage (kg CO2e),*Emissions at this stage are exclusively transport,*Emissions at this stage are exclusively EndOfLife
10056-1-2014,Other: Raw Material,Scope 3,Upstream,1.15,No,No
10056-1-2014,Manufacturing,Scope 1 & 2,Operations,0.6,No,No
10056-1-2014,Consumer use,Scope 3,Downstream,0.15,No,No
10056-1-2014,Transportation,Scope 3,Downstream,0.09,Yes,No
10056-1-2014,Storage,Scope 3,Downstream,0.01,No,No
10056-1-2015,Material acquisition,Scope 3,Upstream,1.15,No,No
10056-1-2015,Manufacturing,Scope 1 & 2,Operations,0.6,No,No
10056-1-2015,Consumer use,Scope 3,Downstream,0.15,No,No
10056-1-2015,Transportation,Other: Scope 1 & 3,Downstream,0.09,Yes,No
10056-1-2015,Storage,"Scope 1, 2, & 3",Downstream,0.01,No,No
10222-1-2013,Cradle-to-Gate,N/a (field not yet included in 2013 reporting),Operations,78.17,No,No
10222-1-2013,Use Phase,N/a (field not yet included in 2013 reporting),Downstream,1.6,No,No
10222-1-2013,End of Life,N/a (field not yet included in 2013 reporting),Downstream,0,No,Yes
10261-1-2017,Other: Production of materials composing the product,Scope 3,Upstream,456,No,No
10261-1-2017,Production,Scope 1,Operations,82,No,No
10261-1-2017,Consumer use,Scope 3,Downstream,894,No,No
10261-1-2017,End of life/Final disposal,Scope 3,Downstream,41,No,Yes
10261-1-2017,Distribution,Scope 3,Downstream,15,Yes,No
10261-2-2017,Other: Production of materials composing the product,Scope 3,Upstream,456,No,No
10261-2-2017,Production,Scope 1,Operations,82,No,No
10261-2-2017,Consumer use,Scope 3,Downstream,1224,No,No
10261-2-2017,End of life/Final disposal,Scope 3,Downstream,41,No,Yes
10261-2-2017,Distribution,Scope 3,Downstream,15,Yes,No
10261-3-2017,Other: Production of materials composing the product,Scope 3,Upstream,456,No,No
10261-3-2017,Production,Scope 1,Operations,82,No,No
10261-3-2017,Consumer use,Scope 3,Downstream,1680,No,No
10261-3-2017,End of life/Final disposal,Scope 3,Downstream,41,No,Yes
10261-3-2017,Distribution,Scope 3,Downstream,15,Yes,No
10670-1-2013,Pre-manufacturing,N/a (field not yet included in 2013 reporting),Upstream,0.772,No,No
10670-1-2013,Manufacturing,N/a (field not yet included in 2013 reporting),Operations,0.001,No,No
10670-1-2013,Use,N/a (field not yet included in 2013 reporting),Downstream,3.67,No,No
10670-1-2013,Distribution,N/a (field not yet included in 2013 reporting),Downstream,2.4,Yes,No
10670-1-2013,Disposal,N/a (field not yet included in 2013 reporting),Downstream,0,No,Yes
10834-1-2015,Packaging,"Scope 1, 2, & 3",Upstream,0.2,No,No
10834-1-2015,Production,"Scope 1, 2, & 3",Operations,2.61,No,No
10834-1-2015,Consumer use,BLANK,Downstream,1.4,No,No
10834-1-2015,End of life/Final disposal,"Scope 1, 2, & 3",Downstream,0.06,No,Yes
10834-1-2015,Distribution,"Scope 1, 2, & 3",Downstream,0.05,Yes,No
1085-1-2013,Sugar beet supply - field preparation to factory gate,N/a (field not yet included in 2013 reporting),Upstream,300,No,No
1085-1-2013,Industrial process - raw materials to final product storage,N/a (field not yet included in 2013 reporting),Operations,350,No,No
11632-1-2016,Manufacturing,Scope 1 & 2,Operations,1.6766798,No,No
11632-1-2016,Pre-processing,Scope 1 & 2,Operations,0.033518,No,No
11632-1-2016,Operation of premises,Scope 1 & 2,Operations,0.0086553,No,No
11632-1-2016,Assembly,Scope 1 & 2,Operations,0.0001828,No,No
1198-1-2014,Material acquisition,Scope 3,Upstream,0.5644,No,No
1198-1-2014,Assembly,Scope 3,Operations,0.1429,No,No
1198-1-2014,Distribution,Scope 3,Downstream,0.4095,Yes,No
1198-1-2014,Transportation,Scope 3,Downstream,0.1087,Yes,No
1198-1-2014,End of life/Final disposal,Scope 3,Downstream,0.0557,No,Yes
1198-1-2015,Material acquisition,Scope 3,Upstream,0.5644,No,No
1198-1-2015,Assembly,Scope 3,Operations,0.1429,No,No
1198-1-2015,Distribution,Scope 3,Downstream,0.4095,Yes,No
1198-1-2015,Transportation,Scope 3,Downstream,0.1087,Yes,No
1198-1-2015,End of life/Final disposal,Scope 3,Downstream,0.0558,No,Yes
1198-2-2013,USB & Packaging Raw Materials & Manufacture,N/a (field not yet included in 2013 reporting),Upstream,1.545,No,No
1198-2-2013,Upstream Transportation & Distribution,N/a (field not yet included in 2013 reporting),Upstream,0.1812,Yes,No
1198-2-2013,USB & Packaging Assembly,N/a (field not yet included in 2013 reporting),Operations,0.0507,No,No
1198-2-2013,Downstream Transportation & Distribution,N/a (field not yet included in 2013 reporting),Downstream,0.4466,Yes,No
1198-2-2013,End of Life,N/a (field not yet included in 2013 reporting),Downstream,0.0615,No,Yes
1198-2-2014,Material acquisition,Scope 3,Upstream,1.545,No,No
1198-2-2014,Assembly,Scope 3,Operations,0.0507,No,No
1198-2-2014,Distribution,Scope 3,Downstream,0.4466,Yes,No
1198-2-2014,Transportation,Scope 3,Downstream,0.1812,Yes,No
1198-2-2014,End of life/Final disposal,Scope 3,Downstream,0.0615,No,Yes
1198-2-2015,Material acquisition,Scope 3,Upstream,1.545,No,No
1198-2-2015,Assembly,Scope 3,Operations,0.0507,No,No
1198-2-2015,Distribution,Scope 3,Downstream,0.4466,Yes,No
1198-2-2015,Transportation,Scope 3,Downstream,0.1812,Yes,No
1198-2-2015,End of life/Final disposal,Scope 3,Downstream,0.0616,No,Yes
1198-4-2015,Material acquisition,Scope 3,Upstream,0.7295,No,No
1198-4-2015,Assembly,Scope 3,Operations,0.2859,No,No
1198-4-2015,Distribution,Scope 3,Downstream,0.4643,Yes,No
1198-4-2015,Transportation,Scope 3,Downstream,0.1291,Yes,No
1198-4-2015,End of life/Final disposal,Scope 3,Downstream,0.0598,No,Yes
12134-1-2017,Manufacturing,Scope 1,Operations,156,No,No
12134-1-2017,Manufacturing,Scope 2,Operations,16,No,No
12134-1-2017,Transportation,Scope 3,Downstream,27,Yes,No
12134-2-2017,Manufacturing,Scope 1,Operations,67,No,No
12134-2-2017,Manufacturing,Scope 2,Operations,2,No,No
12134-2-2017,Transportation,Scope 3,Downstream,1,Yes,No
12134-3-2017,Manufacturing,Scope 2,Operations,4,No,No
12134-3-2017,Manufacturing,Scope 1,Operations,0.1,No,No
12134-3-2017,Transportation,Scope 3,Downstream,0.01,Yes,No
12134-4-2017,Manufacturing,Scope 1,Operations,7,No,No
12134-4-2017,Manufacturing,Scope 2,Operations,0.5,No,No
12134-4-2017,Transportation,Scope 3,Downstream,0.2,Yes,No
12134-5-2017,Manufacturing,Scope 2,Operations,29,No,No
12134-5-2017,Manufacturing,Scope 1,Operations,12,No,No
12134-5-2017,Transportation,Scope 3,Downstream,1,Yes,No
12134-7-2017,Manufacturing,Scope 2,Operations,15,No,No
12134-7-2017,Manufacturing,Scope 1,Operations,0.05,No,No
12134-7-2017,Transportation,Scope 3,Downstream,123,Yes,No
12134-8-2017,Manufacturing,Scope 1,Operations,84345,No,No
12134-8-2017,Manufacturing,Scope 2,Operations,14081,No,No
12134-8-2017,Transportation,Scope 3,Downstream,649,Yes,No
12348-4-2014,Packaging,Scope 3,Upstream,1.64,No,No
12348-4-2014,Other: Raw Materials (Agriculture and processing),"Scope 1, 2, & 3",Upstream,0.936,No,No
12348-4-2014,Processing,Scope 1 & 2,Operations,1.134,No,No
12348-4-2014,Distribution,Scope 3,Downstream,0.2436,Yes,No
12348-4-2014,Consumer use,Scope 3,Downstream,0.014,No,No
12348-4-2014,End of life/Final disposal,Scope 3,Downstream,-0.504,No,Yes
12903-1-2015,Production,Scope 2,Operations,123,No,No
12903-1-2015,Other: Use,Scope 2,Downstream,1468,No,No
12903-1-2015,Transportation,Scope 2,Downstream,55,Yes,No
12903-1-2015,Other: EOL,Scope 2,Downstream,2,No,Yes
12903-3-2015,Production,Scope 2,Operations,259,No,No
12903-3-2015,Other: Use,Scope 2,Downstream,10000,No,No
12903-3-2015,Other: EOL,Scope 2,Downstream,0.8,No,Yes
12903-3-2015,Transportation,Scope 2,Downstream,0.5,Yes,No
12942-1-2013,Packaging: For more specific details please see Humbert et al. (2009) Life cycle assessment of spray dried soluble coffee and comparison with alternatives (drip filter and capsule espresso),N/a (field not yet included in 2013 reporting),Upstream,0.008,No,No
12942-1-2013,Cultivation: For more specific details please see Humbert et al. (2009) Life cycle assessment of spray dried soluble coffee and comparison with alternatives (drip filter and capsule espresso),N/a (field not yet included in 2013 reporting),Upstream,0.008,No,No
