Year of reporting,*Stage-level CO2e available,Product name (and functional unit),Company,Country (where company is incorporated),Company's GICS Industry Group,Company's GICS Industry,*Company's sector,Product weight (kg),*Source for product weight,"Product's carbon footprint (PCF, kg CO2e)",*Carbon intensity,Protocol used for PCF,Relative change in PCF vs previous,Company-reported reason for change,*Change reason category,*%Upstream estimated from %Operations,*Upstream CO2e (fraction of total PCF),*Operations CO2e (fraction of total PCF),*Downstream CO2e (fraction of total PCF),*Transport CO2e (fraction of total PCF),*EndOfLife CO2e (fraction of total PCF)
2014,Yes,Frosted Flakes(R) Cereal,Kellogg Company,USA,"Food, Beverage & Tobacco",Food Products,Food & Beverage,0.7485,Estimated from external data based on product description,2.0,2.67,Not reported,(not reported by company),N/a,N/a (no %change reported),No,0.575,0.3,0.125,0.045,
2015,Yes,"Frosted Flakes, 23 oz, produced in Lancaster, PA (one carton)",Kellogg Company,USA,Food & Beverage Processing,Not used for 2015 reporting,Food & Beverage,0.7485,Estimated from external data based on product description,2.0,2.67,Not reported,(not reported by company),N/a,N/a (no %change reported),No,0.575,0.3,0.125,0.045,
2013,Yes,Office Chair,KNOLL INC,USA,Capital Goods,Building Products,Comm. equipm. & capital goods,20.68,Estimated from external data based on product description,72.54,3.51,Not reported,(not reported by company),N/a,N/a (no previous data available),Yes,0.8062999999999999,0.1736,0.020099999999999996,,0.0
2017,Yes,Multifunction Printers,"Konica Minolta, Inc.",Japan,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components","Computer, IT & telecom",110.0,Estimated from external data based on product description,1488.0,13.53,ISO,(not reported by company),N/a,N/a (no previous data available),No,0.3065,0.055099999999999996,0.6384000000000001,0.0101,0.0276
2017,Yes,Multifunction Printers,"Konica Minolta, Inc.",Japan,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components","Computer, IT & telecom",110.0,Estimated from external data based on product description,1818.0,16.53,ISO,(not reported by company),N/a,N/a (no previous data available),No,0.25079999999999997,0.0451,0.7041,0.0083,0.0226
2017,Yes,Multifunction Printers,"Konica Minolta, Inc.",Japan,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components","Computer, IT & telecom",110.0,Estimated from external data based on product description,2274.0,20.67,ISO,(not reported by company),N/a,N/a (no previous data available),No,0.2005,0.0361,0.7634000000000001,0.0066,0.018000000000000002
2016,No,KURALON  fiber,"Kuraray Co., Ltd.",Japan,Materials,Chemicals,Chemicals,1500.0,As per company's submission to CDP,10000.0,6.67,Not reported,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),,,,,
2013,No,Portland Cement,Lafarge S.A.,France,Materials,Construction Materials,Construction & commercial materials,1000.0,As per company's submission to CDP,1102.0,1.1,Not reported,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),,,,,
2014,No,Regular Straight 505® Jeans  Steel (Water<Less),Levi Strauss & Co.,USA,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods","Home durables, textiles, & equipment",0.7665,Estimated from external data based on product description,15.0,19.57,Not reported,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),,,,,
2015,No,Regular Straight 505® Jeans  Steel (Water<Less),Levi Strauss & Co.,USA,"Textiles, Apparel, Footwear and Luxury Goods",Not used for 2015 reporting,"Home durables, textiles, & equipment",0.7665,Estimated from external data based on product description,15.0,19.57,Not reported,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),,,,,
2016,No,Regular Straight 505® Jeans  Steel (Water<Less),Levi Strauss & Co.,USA,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods","Home durables, textiles, & equipment",0.7665,Estimated from external data based on product description,15.0,19.57,Not reported,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),,,,,
2014,No,501® Original Jeans  Rinse Run,Levi Strauss & Co.,USA,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods","Home durables, textiles, & equipment",0.997,Estimated from external data based on product description,15.0,15.05,Not reported,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),,,,,
2015,No,501® Original Jeans  Rinse Run,Levi Strauss & Co.,USA,"Textiles, Apparel, Footwear and Luxury Goods",Not used for 2015 reporting,"Home durables, textiles, & equipment",0.997,Estimated from external data based on product description,16.0,16.05,Not reported,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),,,,,
