Year,Stage_Level_CO2e_Available,Country,Industry,Sector,Product_Weight,PCF_Protocol,PCF
2014,Yes,USA,Food Products,Food & Beverage,0.7485,Not reported,2.0
2015,Yes,USA,Not used for 2015 reporting,Food & Beverage,0.7485,Not reported,2.0
2013,Yes,USA,Building Products,Comm. equipm. & capital goods,20.68,Not reported,72.54
2017,Yes,Japan,"Electronic Equipment, Instruments & Components","Computer, IT & telecom",110.0,ISO,1488.0
2017,Yes,Japan,"Electronic Equipment, Instruments & Components","Computer, IT & telecom",110.0,ISO,1818.0
2017,Yes,Japan,"Electronic Equipment, Instruments & Components","Computer, IT & telecom",110.0,ISO,2274.0
2016,No,Japan,Chemicals,Chemicals,1500.0,Not reported,10000.0
2013,No,France,Construction Materials,Construction & commercial materials,1000.0,Not reported,1102.0
2014,No,USA,"Textiles, Apparel & Luxury Goods","Home durables, textiles, & equipment",0.7665,Not reported,15.0
2015,No,USA,Not used for 2015 reporting,"Home durables, textiles, & equipment",0.7665,Not reported,15.0
2016,No,USA,"Textiles, Apparel & Luxury Goods","Home durables, textiles, & equipment",0.7665,Not reported,15.0
2014,No,USA,"Textiles, Apparel & Luxury Goods","Home durables, textiles, & equipment",0.997,Not reported,15.0
2015,No,USA,Not used for 2015 reporting,"Home durables, textiles, & equipment",0.997,Not reported,16.0
2014,No,USA,"Textiles, Apparel & Luxury Goods","Home durables, textiles, & equipment",0.997,PAS2050,16.0
2015,No,USA,Not used for 2015 reporting,"Home durables, textiles, & equipment",0.997,PAS2050,16.0
2016,No,USA,"Textiles, Apparel & Luxury Goods","Home durables, textiles, & equipment",0.997,PAS2050,16.0
2014,No,USA,"Textiles, Apparel & Luxury Goods","Home durables, textiles, & equipment",0.68,PAS2050,8.6
2015,No,USA,Not used for 2015 reporting,"Home durables, textiles, & equipment",0.68,Not reported,8.6
2016,No,USA,"Textiles, Apparel & Luxury Goods","Home durables, textiles, & equipment",0.88,Not reported,8.6
2014,No,USA,"Textiles, Apparel & Luxury Goods","Home durables, textiles, & equipment",0.68,Not reported,7.7
2015,No,USA,Not used for 2015 reporting,"Home durables, textiles, & equipment",0.68,Not reported,7.7
2016,No,USA,"Textiles, Apparel & Luxury Goods","Home durables, textiles, & equipment",0.88,Not reported,7.7
2014,No,USA,"Textiles, Apparel & Luxury Goods","Home durables, textiles, & equipment",0.997,Not reported,15.0
2015,No,USA,Not used for 2015 reporting,"Home durables, textiles, & equipment",0.997,Not reported,15.0
