iter	RMSE
0	3.162731564
1	3.053820696
2	2.954684194
3	2.852891122
4	2.759625299
5	2.670406032
6	2.585338322
7	2.497098396
8	2.424429341
9	2.353989957
10	2.284621143
11	2.219341954
12	2.157956144
13	2.098409204
14	2.039023805
15	1.987092994
16	1.939279866
17	1.890164404
18	1.84592183
19	1.797798639
20	1.756425358
21	1.716978388
22	1.68148409
23	1.648029267
24	1.617213361
25	1.587671492
26	1.559518109
27	1.53476322
28	1.50906434
29	1.484026933
30	1.461057433
31	1.438318614
32	1.418482855
33	1.398937347
34	1.37941996
35	1.358466793
36	1.341191592
37	1.325275825
38	1.309663854
39	1.294732092
40	1.282697991
41	1.271132627
42	1.258525199
43	1.244228716
44	1.232187255
45	1.22153724
46	1.211233818
47	1.202469838
48	1.192631058
49	1.18288192
50	1.174647392
51	1.167160661
52	1.156358939
53	1.149257485
54	1.142191774
55	1.135892301
56	1.128449958
57	1.124631219
58	1.119599935
59	1.110783813
60	1.10408503
61	1.096121799
62	1.08933349
63	1.084842669
64	1.080913754
65	1.077150922
66	1.068401659
67	1.06261341
68	1.058820873
69	1.053623474
70	1.049104006
71	1.042991295
72	1.039152315
73	1.034883889
74	1.030927524
75	1.028919195
76	1.025650849
77	1.022046215
78	1.018850038
79	1.015631525
80	1.010005327
81	1.003175622
82	0.9984248562
83	0.9948699862
84	0.992417
85	0.9892925682
86	0.9862627409
87	0.9826269247
88	0.9797024316
89	0.9764219226
90	0.974020962
91	0.9723689765
92	0.9688802173
93	0.9659254688
94	0.9629527476
95	0.9608360977
96	0.9598271579
97	0.9558639601
98	0.951434291
99	0.9487377032
100	0.9450929495
101	0.9402120786
102	0.9381188748
103	0.9349586781
104	0.9313318211
105	0.928344308
106	0.925429318
107	0.9239580734
108	0.9212695764
109	0.9194549255
110	0.9169291443
111	0.9122357633
112	0.909824266
113	0.9069158871
114	0.9044276565
115	0.9012824897
116	0.8982718741
117	0.8963513922
118	0.8947473472
119	0.8912995501
120	0.8899583854
121	0.8885123254
122	0.8871434105
123	0.8853628659
124	0.8814448299
125	0.8794442945
126	0.8771527993
127	0.8759210528
128	0.87378011
129	0.8720932201
130	0.8706779397
131	0.8684489673
132	0.8649402729
133	0.8635431282
134	0.8587195877
135	0.8558300143
136	0.8548578227
137	0.8520383952
138	0.849129433
139	0.8471076876
140	0.845223734
141	0.8437635034
142	0.8421695119
143	0.8405006322
144	0.8382183018
145	0.8342242785
146	0.8307675056
147	0.8288786138
148	0.8263885945
149	0.8251388721
150	0.8228074538
151	0.8214687555
152	0.8175388275
153	0.8166198356
154	0.814161785
155	0.8125356103
156	0.811050201
157	0.8066079511
158	0.8051314161
159	0.803648747
160	0.8010164624
161	0.7997360486
162	0.7978216977
163	0.7957468653
164	0.7946936218
165	0.7917610119
166	0.7905588266
167	0.7888251224
168	0.7863017287
169	0.7855296317
170	0.7838930831
171	0.7824160369
172	0.7813902177
173	0.7789410206
174	0.7763470223
175	0.7752015064
176	0.7731150057
177	0.7707885144
178	0.7700427744
179	0.7688226994
180	0.7675226242
181	0.7650190184
182	0.762442811
183	0.7605838714
184	0.7593274709
185	0.7575710626
186	0.7558799427
187	0.7541315796
188	0.7524269454
189	0.7504229351
190	0.7490549512
191	0.7472407092
192	0.7462320708
193	0.7448174601
194	0.7420273886
195	0.7398853406
196	0.7385576281
197	0.7357420987
198	0.7344333385
199	0.7332826606
200	0.7312697381
201	0.7284423789
202	0.7267657606
203	0.72566106
204	0.7233767754
205	0.7225544208
206	0.7215911084
207	0.7205019865
208	0.718556781
209	0.7177929041
210	0.7151045766
211	0.7142643979
212	0.7127110128
213	0.7121553502
214	0.7103468794
215	0.7084573257
216	0.7070764289
217	0.7047412738
218	0.7031733763
219	0.7023488484
220	0.7010652807
221	0.6996088697
222	0.6978735176
223	0.6962726432
224	0.6946687424
225	0.6939602344
226	0.6926580592
227	0.6920283612
228	0.6910411394
229	0.6895816454
230	0.6883979559
231	0.6862764233
232	0.6848903579
233	0.6825462368
234	0.6816529147
235	0.6807316604
236	0.6795703827
237	0.678480061
238	0.6771049205
239	0.6751528262
240	0.6743234984
241	0.6727632399
242	0.6714678736
243	0.6699087103
244	0.6684394252
245	0.6672149693
246	0.6659590027
247	0.6649460876
248	0.6643743359
249	0.6636714412
250	0.6625157979
251	0.6605514347
252	0.6591950386
253	0.6582883622
254	0.6571715903
255	0.6567350618
256	0.6557368524
257	0.6544446455
258	0.6534923055
259	0.6525679482
260	0.6517050084
261	0.6499793666
262	0.6485949217
263	0.6479448757
264	0.6473418287
265	0.64620624
266	0.6452518764
267	0.6444837904
268	0.64270885
269	0.6416779018
270	0.6409626281
271	0.6401268602
272	0.638201405
273	0.6370243546
274	0.6361121089
275	0.6354378613
276	0.6336815807
277	0.6323451838
278	0.6316734592
279	0.6308765872
280	0.6293134151
281	0.6284288029
282	0.6282543761
283	0.6272750477
284	0.6265163661
285	0.6256897703
286	0.6255226069
287	0.6249448831
288	0.6239021712
289	0.6228631122
290	0.6222201608
291	0.621209376
292	0.6203082767
293	0.6201506787
294	0.6191711581
295	0.6184684507
296	0.6174967889
297	0.6168956641
298	0.615964391
299	0.6158157302
300	0.6152552128
301	0.6136132882
302	0.6128830228
303	0.6113639438
304	0.6106929854
305	0.6095792082
306	0.6086231102
307	0.6077923115
308	0.6068662291
309	0.6059822625
310	0.6058434438
311	0.6053111987
312	0.6041064919
313	0.6032835717
314	0.6027361727
315	0.6021325671
316	0.6016159792
317	0.6008192434
318	0.6006863785
319	0.6005574633
320	0.6004323542
321	0.5996025311
322	0.5986614173
323	0.5985399624
324	0.5984220691
325	0.5978087037
326	0.5976936433
327	0.59666888
328	0.5960982642
329	0.59522031
330	0.5947484356
331	0.5939682305
332	0.5929794863
333	0.5925120524
334	0.5916856766
335	0.5908935351
336	0.5901777743
337	0.5894959194
338	0.588284678
339	0.5881773132
340	0.588073099
341	0.5876071589
