iter	Passed	Remaining
0	22	6629
1	37	5616
2	56	5606
3	64	4761
4	71	4246
5	85	4209
6	96	4022
7	102	3744
8	109	3533
9	115	3349
10	122	3205
11	128	3080
12	134	2972
13	141	2881
14	147	2798
15	154	2737
16	160	2674
17	168	2644
18	175	2589
19	181	2544
20	188	2502
21	194	2463
22	203	2446
23	209	2408
24	215	2370
25	221	2336
26	227	2304
27	234	2276
28	240	2249
29	246	2222
30	253	2197
31	259	2172
32	265	2150
33	272	2130
34	278	2109
35	284	2088
36	291	2072
37	300	2071
38	306	2051
39	312	2032
40	320	2021
41	328	2019
42	338	2023
43	344	2005
44	350	1988
45	357	1974
46	363	1958
47	370	1943
48	376	1927
49	382	1913
50	388	1898
51	395	1884
52	401	1871
53	407	1858
54	414	1845
55	420	1832
56	426	1820
57	433	1809
58	440	1798
59	446	1786
60	453	1775
61	459	1764
62	465	1752
63	472	1741
64	478	1731
65	485	1720
66	491	1710
67	497	1698
68	504	1688
69	510	1678
70	517	1667
71	523	1658
72	529	1647
73	536	1637
74	542	1627
75	551	1625
76	558	1616
77	564	1607
78	571	1597
79	577	1588
80	583	1578
81	590	1569
82	596	1560
83	603	1551
84	609	1541
85	615	1532
86	621	1522
87	629	1517
88	636	1508
89	642	1499
90	649	1490
91	655	1481
92	661	1472
93	667	1463
94	673	1454
95	680	1445
96	687	1439
97	694	1430
98	700	1422
99	706	1413
100	713	1405
101	719	1396
102	725	1388
103	731	1379
104	738	1371
105	744	1362
106	751	1354
107	757	1346
108	763	1338
109	770	1330
110	776	1322
111	782	1314
112	789	1306
113	795	1298
114	802	1291
115	809	1283
116	815	1276
117	822	1268
118	828	1260
119	834	1252
120	841	1244
121	847	1236
122	854	1229
123	860	1221
124	866	1213
125	873	1206
126	880	1199
127	887	1192
128	896	1187
129	903	1181
130	910	1174
131	917	1167
132	925	1161
133	934	1158
134	953	1165
135	970	1170
136	978	1164
137	985	1156
138	995	1153
139	1004	1147
140	1011	1140
141	1017	1132
142	1023	1124
143	1030	1115
144	1036	1107
145	1042	1100
146	1049	1092
147	1055	1084
148	1061	1075
149	1068	1068
150	1074	1060
151	1082	1054
152	1091	1048
153	1097	1040
154	1104	1032
155	1110	1025
156	1116	1017
157	1123	1009
158	1129	1001
159	1135	993
160	1142	986
161	1149	979
162	1156	971
163	1162	964
164	1169	956
165	1175	949
166	1183	942
167	1189	934
168	1196	927
169	1203	920
170	1212	914
171	1218	907
172	1225	899
173	1234	894
174	1243	888
175	1251	881
176	1258	874
177	1264	866
178	1271	859
179	1278	852
180	1284	844
181	1293	838
182	1300	831
183	1307	824
184	1313	816
185	1321	809
186	1334	806
187	1349	804
188	1366	802
189	1379	798
190	1388	792
191	1396	785
192	1409	781
193	1423	777
194	1431	770
195	1441	764
196	1452	759
197	1467	756
198	1480	751
199	1496	748
200	1509	743
201	1523	739
202	1538	735
203	1554	731
204	1567	726
205	1579	720
206	1596	717
207	1619	716
208	1633	711
209	1644	704
210	1651	696
211	1657	688
212	1665	680
213	1681	675
214	1697	671
215	1713	666
216	1728	661
217	1743	655
218	1757	649
219	1770	643
220	1784	637
221	1798	631
222	1806	623
223	1815	616
224	1825	608
225	1833	600
226	1844	593
227	1852	585
228	1859	576
229	1866	567
230	1877	560
231	1883	552
232	1890	543
233	1899	535
234	1907	527
235	1914	519
236	1921	510
237	1927	502
238	1934	493
239	1940	485
240	1948	477
241	1955	468
242	1962	460
243	1968	451
244	1975	443
245	1984	435
246	1992	427
247	1999	419
248	2005	410
249	2012	402
250	2018	394
251	2025	385
252	2031	377
253	2038	369
254	2047	361
255	2054	353
256	2061	344
257	2067	336
258	2074	328
259	2080	320
260	2086	311
261	2093	303
262	2099	295
263	2106	287
264	2112	279
265	2119	270
266	2125	262
267	2132	254
268	2138	246
269	2144	238
270	2150	230
271	2157	222
272	2165	214
273	2171	206
274	2178	198
275	2184	189
276	2190	181
277	2200	174
278	2209	166
279	2216	158
280	2222	150
281	2231	142
282	2241	134
283	2249	126
284	2258	118
285	2264	110
286	2271	102
287	2278	94
288	2284	86
289	2290	78
290	2297	71
291	2304	63
292	2310	55
293	2316	47
294	2323	39
295	2329	31
296	2340	23
297	2347	15
298	2353	7
299	2359	0
